episode,mean_reward,max_reward,min_reward,std_reward,mean_episode_length,collision_rate,success_rate,mean_travel_time_s,total_collisions,total_successes,steps_per_sec,episodes_per_sec,elapsed_sec,mean_train_loss,success_rate/left,collision_rate/left,success_rate/straight,collision_rate/straight,success_rate/right,collision_rate/right,success_rate/scenario_a,success_rate/scenario_b,success_rate/scenario_c,success_rate/scenario_d,success_rate/scenario_e,success_rate/scenario_f,success_rate/scenario_g,success_rate/scenario_h,success_rate/scenario_i
330,-13.16700267791748,24.949996948242188,-534.5,118.99000549316406,237.77999877929688,0.05000000074505806,0.9800000190734863,23.950000762939453,13.0,326.0,83.36553955078125,0.4070582985877991,876.37353515625,2.3102636337280273,0.9900000095367432,0.07000000029802322,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340,-13.005002975463867,24.949996948242188,-534.5,119.01557922363281,236.6999969482422,0.05000000074505806,0.9800000190734863,23.864999771118164,13.0,336.0,75.76707458496094,0.3699564039707184,903.4037475585938,2.3414762020111084,0.9900000095367432,0.07000000029802322,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350,-12.583502769470215,24.949996948242188,-534.5,119.10116577148438,233.88999938964844,0.05000000074505806,0.9800000190734863,23.57200050354004,13.0,346.0,154.89501953125,0.3781616687774658,929.8474731445312,2.324179172515869,0.9900000095367432,0.07000000029802322,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,-23.286502838134766,27.499998092651367,-534.5,139.66993713378906,231.91000366210938,0.07000000029802322,0.9800000190734863,23.20599937438965,15.0,356.0,92.30795288085938,0.45072242617607117,952.0340576171875,2.3581628799438477,0.9900000095367432,0.09000000357627869,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
370,-18.017501831054688,27.499998092651367,-534.5,129.9281005859375,233.4499969482422,0.05999999865889549,0.9800000190734863,23.39299964904785,15.0,366.0,69.79573059082031,0.3407994508743286,981.3768310546875,2.3902604579925537,0.9900000095367432,0.09000000357627869,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,-18.54100227355957,27.499998092651367,-534.7999877929688,130.01898193359375,236.94000244140625,0.05999999865889549,0.9900000095367432,23.694000244140625,16.0,376.0,89.91984558105469,0.4390617609024048,1004.1527099609375,2.4164326190948486,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
390,-13.299002647399902,27.499998092651367,-534.7999877929688,119.42601013183594,238.66000366210938,0.05000000074505806,1.0,23.865999221801758,16.0,386.0,100.85601806640625,0.49246102571487427,1024.4588623046875,2.4047460556030273,0.9900000095367432,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,-13.245002746582031,27.499998092651367,-534.7999877929688,119.42840576171875,238.3000030517578,0.05000000074505806,0.9900000095367432,23.875999450683594,17.0,395.0,46.4482307434082,0.22679801285266876,1068.551025390625,2.397792339324951,0.9800000190734863,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0
410,-13.302002906799316,27.499998092651367,-534.7999877929688,119.4157485961914,238.67999267578125,0.05000000074505806,0.9900000095367432,23.913000106811523,17.0,405.0,32.781158447265625,0.16006426513195038,1131.02587890625,2.4265904426574707,0.9800000190734863,0.10000000149011612,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0
420,-18.701501846313477,27.499998092651367,-535.8499755859375,130.22695922851562,238.00999450683594,0.05999999865889549,0.9900000095367432,23.85300064086914,18.0,415.0,40.00531768798828,0.09766922891139984,1233.412353515625,2.447432279586792,0.9800000190734863,0.10999999940395355,0.9700000286102295,0.03999999910593033,1.0,0.0,1.0,0.8999999761581421,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0
430,-13.080002784729004,27.499998092651367,-535.8499755859375,119.52750396728516,237.1999969482422,0.05000000074505806,0.9900000095367432,23.722000122070312,18.0,425.0,34.40068054199219,0.16797207295894623,1292.946044921875,2.436404228210449,0.9900000095367432,0.10000000149011612,0.9800000190734863,0.029999999329447746,1.0,0.0,1.0,0.8999999761581421,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0
440,-12.670502662658691,27.799997329711914,-535.8499755859375,119.62954711914062,234.47000122070312,0.05000000074505806,0.9900000095367432,23.50200080871582,18.0,435.0,33.6934928894043,0.16451901197433472,1353.729248046875,2.4285471439361572,0.9900000095367432,0.10000000149011612,0.9800000190734863,0.029999999329447746,1.0,0.0,1.0,0.8999999761581421,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0
